Item Name,Category,Distributor,Item Number,Product SKU,Description,Size,Proof %,Last Purchase Cost,Price Includes Tax,Cost Price,Retail Price,Promo Price,Reorder Level,Reorder Amount,Allow Alternate Description,Item has Serial Number,Image Id,Override Default Tax,Is Service,Commission Percent,Commission Fixed,Is Scalable,Weight,Price Per Pound,Deleted,Retail Markup,Quickbooks Id,Permanent Delete,Single Bottle Cost,Case Cost,Remove Discount,By Location,Quantity on Hand,Quantity Case,Price A,Price B,Price C
ACROBAT PINOT NOIR OREGON,WINE,GLAZER'S,6867508592,2686415,ACROBAT PINOT NOIR O,750ML,,16.14,,16.14,19.99,,1,1,,,,,,,,,,,,,,,16.14,162.24,,G,0,12,,,
ADM NELSON SPICED RUM 70 12/10,LIQUOR,GLAZER'S,9674908627,89112,ADM NELSON SPICED RU,50ML,,6.1,,6.1,0.93,,0,0,,,,,,,,,,,,,,,6.1,55.2,,,20,120,,,
AFTER SHOCK,,STANDARD LIQUOR CORP,8068628160,495013,AFTER SHOCK,375ML,,0,,11.15,14.99,,2,1,,,,,,,,,,,,,,,11.15,249.53,,E,0,24,,,
AGAVERO TEQUILA,,STANDARD LIQUOR CORP,8976811100,1090009,AGAVERO TEQUILA,750ML,,25.37,,25.37,28.49,,2,1,,,,,,,,,,,,,,,25.37,145,,A,0,6,,,
AIRFIELD EST RED BLEND,WINE,HANDCRAFTED WINES,9124000173,39510217,AIRFIELD EST RED BLE,750ML,,11.38,,11.38,15.99,,1,1,,,,,,,,,,,,,,,11.38,136.56,,G,-1,12,,,
AIRFIELD LATE HARVEST RIES,WINE,HANDCRAFTED WINES,9124000152,39509224,AIRFIELD LATE HARVES,375ML,,10.67,,10.67,14.99,,1,1,,,,,,,,,,,,,,,10.67,128.04,,G,2,12,,,
AIRLIE GEWURTZRAMINER,WINE,HANDCRAFTED WINES,3327587410,39603120,AIRLIE GEWURTZRAMINE,750ML,,10.67,,10.67,14.99,,1,1,,,,,,,,,,,,,,,10.67,128.04,,G,2,12,,,
ALAMOS MALBEC,WINE,GLAZER'S WHOLESALE DRUG CO INC,8500001819,34403,ALAMOS MALBEC,750ML,,8.61,,8.61,9.99,,2,1,,,,,,,,,,,,,,,8.61,85.33,,D,-4,12,,,
ALBERTI 154 MALBEC,WINE,WORLD WIDE,3604001675,14012432,ALBERTI 154 MALBEC,750ML,,9.25,,9.25,12.99,,1,1,,,,,,,,,,,,,,,9.25,111,,G,0,12,,,
ALEX CAB SAUV EST SONOMA COUNT,WINE,GLAZER'S,8579802872,917122,ALEX CAB SAUV EST SO,750ML,,15.02,,15.02,18.99,,2,2,,,,,,,,,,,,,,,15.02,153.73,,D,4,12,,,
ALEX CAB SAUV TOP OF THE CROP,WINE,MIDWEST,8579810006,435594,ALEX CAB SAUV TOP OF,750ML,,31.09,,31.09,43.99,,1,1,,,,,,,,,,,,,,,31.09,360,,G,0,12,,,
ALEX CHARD SONOMA COUNTY,WINE,GLAZER'S,8579801872,72263,ALEX CHARD SONOMA CO,750ML,,16.86,,16.86,12.99,,1,1,,,,,,,,,,,,,,,16.86,114,,C,0,12,,,
ALIAS PINOT NOIR,WINE,WORLD WIDE,5083200400,10220234,ALIAS PINOT NOIR,750ML,,7.82,,7.82,10.99,,0,0,,,,,,,,,,,,,,,7.82,93.84,,,5,12,,,
ALIAS SAUV BLANC,WINE,WORLD WIDE,5083200410,10220235,ALIAS SAUV BLANC,750ML,,7.82,,7.82,10.99,,0,0,,,,,,,,,,,,,,,7.82,9.84,,,5,12,,,
ALIZE BLEU,,STANDARD LIQUOR CORP,8469220615,1037013,ALIZE BLEU,375ML,,8.22,,8.22,13.49,,2,1,,,,,,,,,,,,,,,8.22,96.75,,C,2,12,,,
ALIZE GOLD,,STANDARD LIQUOR CORP,8469220095,1926013,ALIZE GOLD,375ML,,8.56,,8.56,13.49,,2,1,,,,,,,,,,,,,,,8.56,96.75,,C,2,12,,,
ALIZE RED PASSION,,STANDARD LIQUOR CORP,8469220115,1925013,ALIZE RED PASSION,375ML,,8.56,,8.56,13.49,,2,1,,,,,,,,,,,,,,,8.56,96.75,,C,2,12,,,
ALTO CINCO GARNACHA,WINE,WORLD WIDE,5171800034,18002832,ALTO CINCO GARNACHA,750ML,,0,,0,12.99,,1,1,,,,,,,,,,,,,,,0,110.95,,H,2,12,,,
ALTOS TEQUILA 50ML,LIQUOR,GLAZER'S,8043210854,9998,ALTOS TEQUILA 50ML,50ML,,0,,23,2.99,,0,0,,,,,,,,,,,,,,,23,138,,,0,60,,,
AMANCAYA ARGENTINA BLEND,WINE,WORLD WIDE,8678513002,17103632,AMANCAYA ARGENTINA B,750ML,,14.23,,14.23,19.99,,1,1,,,,,,,,,,,,,,,14.23,170.76,,G,6,12,,,
AMARETTO DI AMORE CLASS,,GLAZER WHOLESALE DRUG CO.,8292823016,5707,AMARETTO DI AMORE CL,375ML,,134.5,,6.08,8.99,,2,1,,,,,,,,,,,,,,,6.08,134.5,,,0,24,,,
AMARETTO DI AMORE CLASS,,GLAZER WHOLESALE DRUG CO.,8292839982,5706,AMARETTO DI AMORE CL,750ML,,127.67,,11.61,15.49,,2,1,,,,,,,,,,,,,,,11.61,127.67,,,0,12,,,
