Item Name,Category,Distributor,Item Number,Product SKU,Description,Size,Proof %,Last Purchase Cost,Price Includes Tax,Cost Price,Retail Price,Promo Price,Reorder Level,Reorder Amount,Allow Alternate Description,Item has Serial Number,Image Id,Override Default Tax,Is Service,Commission Percent,Commission Fixed,Is Scalable,Weight,Price Per Pound,Deleted,Retail Markup,Quickbooks Id,Permanent Delete,Single Bottle Cost,Case Cost,Remove Discount,By Location,Quantity on Hand,Quantity Case,Price A,Price B,Price C
BACARDI SELECT,SPIRITS,STANDARD,8048005570,1610015,,200M,,,,3.89,5.19,,,,,,,,,,,,,,,,,,,,,A01141,0,,,,
BACARDI SELECT,SPIRITS,STANDARD,8048005560,1610013,,375M,,,,6.22,8.29,,,,,,,,,,,,,,,,,,,,,A01146,0,,,,
BACARDI SELECT,SPIRITS,STANDARD,8048005540,1610009,,750M,,,,10.89,10.79,,,,,,,,,,,,,,,,,,,,,F01261,0,,,,
BACARDI SELECT,SPIRITS,STANDARD,8048005520,1610004,,1.75L,,,,21.01,26.79,,,,,,,,,,,,,,,,,,,,,F01276,0,,,,
BACARDI SILVER RUM,SPIRITS,STANDARD,8048001621,1624021,,50M,,,,0.98,1.29,,,,,,,,,,,,,,,,,,,,,A02163,0,,,,
BACARDI SOLERA RUM,SPIRITS,STANDARD,8048000116,1681009,,750M,,,,12.45,18.29,,,,,,,,,,,,,,,,,,,,,F03276,1,,,,
BACARDI TORCHED CHERRY RUM,SPIRITS,STANDARD,8048000098,12311009,,750M,,,,10.89,15.99,,,,,,,,,,,,,,,,,,,,,F02248,0,,,,
BACARDI ZOMBIE,SPIRITS,STANDARD,8048080616,1020009,,750M,,,,7,11.29,,,,,,,,,,,,,,,,,,,,,E03033,2,,,,
BACKWOODS SHINE PECAN PIE,SPIRITS,LDSFD,5641600380,169114,,750M,,,,15.56,19.99,,,,,,,,,,,,,,,,,,,,,F03330,0,,,,
BACKWOODS WHISKEY PECAN,SPIRITS,LDSFD,3875979652,169144,,750M,,,,23.34,27.99,,,,,,,,,,,,,,,,,,,,,F03331,0,,,,
BAILEYS ALMANDE,CORDIALS,STANDARD,8200077628,20156009,,750M,,,,19.45,24.89,,,,,,,,,,,,,,,,,,,,,H01073,0,,,,
BAILEYS CHOCOLATE CHERRY,CORDIALS,STANDARD,8676770443,16430009,,750M,,,,19.45,27.89,,,,,,,,,,,,,,,,,,,,,H01067,0,,,,
